# Source: Istanbul Okan University International Student 2026-2027 Price List (study.okan.edu.tr)
# Parsed by scripts/generate_okan_programs_sql.py — PhD block excluded (already seeded in V10).

| FACULTY of MEDICINE (6 YEAR BACHELOR DEGREE PROGRAM) |
| --- |
| DEPARTMENT | LANGUAGE | TUITION PLAN | TUITION FEE (WITH INSTALLEMENT) | PAYMENT IN ADVANCE 5% DISCOUNT |
| Construction Equipment Operations | TURKISH | YEARLY | 2025USD | 1925USD |
| Construction Technology | TURKISH | YEARLY | 2025USD | 1925USD |
| Control and Automation Technology | TURKISH | YEARLY | 2025USD | 1925USD |
| Cooking | TURKISH | YEARLY | 2025USD | 1925USD |
| Court Office Services | TURKISH | YEARLY | 2025USD | 1925USD |
| Dialysis | TURKISH | YEARLY | 2025USD | 1925USD |
| Digital Health Systems Technology | TURKISH | YEARLY | 2025USD | 1925USD |
| Digital Transformation Electronics | TURKISH | YEARLY | 2025USD | 1925USD |
| E-Commerce and Marketing | TURKISH | YEARLY | 2025USD | 1925USD |
| Elderly Care Services | TURKISH | YEARLY | 2025USD | 1925USD |
| Electricity | TURKISH | YEARLY | 2025USD | 1925USD |
| Electroneurophysiology | TURKISH | YEARLY | 2025USD | 1925USD |
| Electronic Communication Technology | TURKISH | YEARLY | 2025USD | 1925USD |
| First Aid & Emergency | TURKISH | YEARLY | 2025USD | 1925USD |
| Flight Operations Management | TURKISH | YEARLY | 2025USD | 1925USD |
| Foreign Trade | TURKISH | YEARLY | 2025USD | 1925USD |
| Foreign Trade | ENGLISH | YEARLY | 2025USD | 1925USD |
| Graphic Design | TURKISH | YEARLY | 2025USD | 1925USD |
| Heating, Ventilation & Air Conditioning (HVAC) Technology | TURKISH | YEARLY | 2025USD | 1925USD |
| Human Resources Management | TURKISH | YEARLY | 2025USD | 1925USD |
| Interior Design | TURKISH | YEARLY | 2025USD | 1925USD |
| Logistics Management | TURKISH | YEARLY | 2025USD | 1925USD |
| Machinery | TURKISH | YEARLY | 2025USD | 1925USD |
| Mechatronics | TURKISH | YEARLY | 2025USD | 1925USD |
| Medical Imaging Techniques | TURKISH | YEARLY | 2025USD | 1925USD |
| Medical Laboratory Techniques | TURKISH | YEARLY | 2025USD | 1925USD |
| Mobile Technologies | TURKISH | YEARLY | 2025USD | 1925USD |
| Natural Gas and Installation Technology | TURKISH | YEARLY | 2025USD | 1925USD |
| Occupational Health & Safety | TURKISH | YEARLY | 2025USD | 1925USD |
| Occupational Health & Safety (Distance Learning) | TURKISH | YEARLY | 2025USD | 1925USD |
| Operation Room Services | TURKISH | YEARLY | 2025USD | 1925USD |
| Opticianry | TURKISH | YEARLY | 2025USD | 1925USD |
| Oral & Dental Health | TURKISH | YEARLY | 2025USD | 1925USD |
| Pathology Laboratory Techniques | TURKISH | YEARLY | 2025USD | 1925USD |
| Radiotherapy | TURKISH | YEARLY | 2025USD | 1925USD |
| Smart Infrastructure Technology | TURKISH | YEARLY | 2025USD | 1925USD |
| Surveying & Cadastre | TURKISH | YEARLY | 2025USD | 1925USD |
| Web Design and Programming | TURKISH | YEARLY | 2025USD | 1925USD |
